game_str,play_id,at_bat,play_per_game,timestamp_start,timestamp_stop,player_position,home_team,away_team,inning,top_bottom_inning,player_id,throw_velocity_mph,euclid_distance_avg
1900_01_TeamKJ_TeamB,14,,14,372219,373704,7,TeamB,TeamKJ,1,Top,2488,60.02,0.5599744026734483
1900_01_TeamKJ_TeamB,14,,14,375057,376080,6,TeamB,TeamKJ,1,Top,2614,27.92,0.13065303285222565
1900_01_TeamKJ_TeamB,24,,24,729829,730456,2,TeamB,TeamKJ,1,Bottom,9570,81.66,0.11611399347678004
1900_01_TeamKJ_TeamB,42,,42,1364419,1365409,6,TeamB,TeamKJ,2,Top,2614,75.13,0.21098907304115683
1900_01_TeamKJ_TeamB,48,,48,1550171,1550798,4,TeamB,TeamKJ,2,Top,1201,34.29,0.056507628165630576
1900_01_TeamKJ_TeamB,48,,48,1551459,1552251,6,TeamB,TeamKJ,2,Top,2614,77.8,0.20484846836151224
1900_01_TeamKJ_TeamB,50,,50,1714042,1715131,6,TeamB,TeamKJ,2,Top,2614,69.19,0.30302223291394065
1900_01_TeamKJ_TeamB,55,,55,1825467,1826193,4,TeamB,TeamKJ,2,Bottom,8180,65.49,0.18365209548398576
1900_01_TeamKJ_TeamB,57,,57,1878308,1879133,4,TeamB,TeamKJ,2,Bottom,8180,60.17,0.10720860549599241
1900_01_TeamKJ_TeamB,65,,65,2192649,2193573,4,TeamB,TeamKJ,3,Top,1201,65.68,1.413591078755711
1900_01_TeamKJ_TeamB,66,,66,2321633,2322656,5,TeamB,TeamKJ,3,Top,2653,74.8,0.2689859545277989
1900_01_TeamKJ_TeamB,74,,74,2588512,2590196,9,TeamB,TeamKJ,3,Bottom,7225,77.9,1.4437350905731123
1900_01_TeamKJ_TeamB,80,,80,2823080,2824268,6,TeamB,TeamKJ,3,Bottom,6752,68.15,0.06221219847775557
1900_01_TeamKJ_TeamB,86,,86,2942360,2943383,5,TeamB,TeamKJ,4,Top,2653,80.41,0.3383037468100777
1900_01_TeamKJ_TeamB,93,,93,3178149,3179073,2,TeamB,TeamKJ,4,Top,2456,60.5,0.23957134441252756
1900_01_TeamKJ_TeamB,97,,97,3266536,3267757,5,TeamB,TeamKJ,4,Bottom,6717,80.86,0.7784784092453718
1900_01_TeamKJ_TeamB,109,,109,3624378,3626094,9,TeamB,TeamKJ,5,Top,2279,87.69,0.676862055232902
1900_01_TeamKJ_TeamB,111,,111,3732965,3734747,8,TeamB,TeamKJ,5,Top,2061,75.12,1.638734985283407
1900_01_TeamKJ_TeamB,124,,124,4134241,4134967,4,TeamB,TeamKJ,5,Top,1201,57.12,0.21050265963661413
1900_01_TeamKJ_TeamB,168,,168,5580459,5582373,8,TeamB,TeamKJ,6,Bottom,5535,83.2,2.41027438317067
1900_01_TeamKJ_TeamB,183,,184,6093490,6094579,5,TeamB,TeamKJ,6,Bottom,6717,80.94,0.30319703118803
1900_01_TeamKJ_TeamB,212,,213,6978192,6979480,6,TeamB,TeamKJ,7,Bottom,6752,73.69,0.5457395393772166
1900_01_TeamKJ_TeamB,214,,215,7117573,7118266,5,TeamB,TeamKJ,7,Bottom,6717,67.61,0.07851342227878244
1900_01_TeamKJ_TeamB,214,,215,7118860,7119850,4,TeamB,TeamKJ,7,Bottom,8180,65.2,0.34722608664291443
1900_01_TeamKJ_TeamB,239,,240,7891642,7892764,6,TeamB,TeamKJ,8,Bottom,6752,88.12,0.6966498281712693
1900_01_TeamKJ_TeamB,242,,243,8174133,8175321,6,TeamB,TeamKJ,8,Bottom,6752,75.16,0.6358571239226732
1900_01_TeamKJ_TeamB,251,,252,8416027,8417182,5,TeamB,TeamKJ,9,Top,2653,75.24,0.40380273401515115
1900_01_TeamKJ_TeamB,253,,254,8577983,8578907,5,TeamB,TeamKJ,9,Top,2653,79.59,0.21033074623922665
1900_01_TeamKJ_TeamB,263,,264,8945264,8946716,9,TeamB,TeamKJ,9,Bottom,7225,96.28,1.727546259793872
1900_02_TeamKJ_TeamB,8,,8,294648,296397,8,TeamB,TeamKJ,1,Top,1450,84.79,0.9799082925979063
1900_02_TeamKJ_TeamB,22,,22,654107,656714,9,TeamB,TeamKJ,1,Top,2061,92.06,1.072589625086459
1900_02_TeamKJ_TeamB,48,,48,1463887,1464547,5,TeamB,TeamKJ,1,Bottom,6717,63.28,0.040457586103956035
1900_02_TeamKJ_TeamB,56,,56,1738061,1739414,9,TeamB,TeamKJ,2,Top,2061,77.09,1.1586002637221289
1900_02_TeamKJ_TeamB,71,,71,2312350,2313373,5,TeamB,TeamKJ,2,Bottom,6717,65.32,0.25995964457630943
